Time,HR,RR
251.06437063217163,67,[1108],0
252.06006956100464,67,[535],226
252.0661027431488,67,[873],0
253.05726861953735,67,[873],0
254.0550787448883,67,[864],0
255.05201315879822,67,[939],9
255.05798363685608,67,"[882, 835]",75
256.0454652309418,67,0
257.04658913612366,67,"[1023, 873]",0
258.04486751556396,67,"[1023, 873]",0
259.04209661483765,68,[835],0
259.0462784767151,67,[882],188
260.03970527648926,67,[769],47
261.03615856170654,69,[789],113
262.03508400917053,68,[939],20
263.03197741508484,68,[939],150
263.03742575645447,70,[750],0
264.03198862075806,69,[1088],189
265.0295879840851,70,[685],0
266.02536487579346,70,[854],0
267.0223865509033,70,[854],169
267.0291404724121,70,"[891, 797]",0
268.01976132392883,69,[1295],37
269.0149073600769,69,0
270.0140817165375,69,[1446],0
271.01198077201843,69,[817],0
271.0170168876648,69,[817],0
272.00960063934326,69,[732],0
273.00737977027893,69,[1088],85
274.00484323501587,68,[919],0
275.00204396247864,68,[1061],169
275.0063683986664,68,[591],142
275.9993200302124,68,[591],0
276.9988737106323,68,[817],0
277.9935550689697,68,[1295],226
278.99124121665955,68,[1080],0
278.9949953556061,68,0
280.98653054237366,68,0
280.99046206474304,68,0
281.98213243484497,69,0
282.97914838790894,70,0
282.9820382595062,71,0
283.97552728652954,71,0
284.97443294525146,71,0
285.9721076488495,71,0
287.9674987792969,71,0
287.97260308265686,72,0
287.97486448287964,72,0
288.9643156528473,72,0
289.9621117115021,72,0
290.95996952056885,72,0
290.96517300605774,72,0
291.95672821998596,71,0
292.95426201820374,71,0
293.95312094688416,70,0
294.94793605804443,69,0
294.9522466659546,69,0
295.9475224018097,69,0
296.94535636901855,69,0
297.9425356388092,69,0
298.93960332870483,68,0
298.94489073753357,67,0
299.93741106987,67,0
300.93447732925415,67,0
301.93266582489014,66,0
302.9273302555084,66,0
303.92609000205994,65,0
303.9295198917389,64,0
304.9240243434906,64,0
305.92210721969604,64,0
306.91944456100464,64,0
307.91513657569885,64,0
307.91804337501526,64,0
308.9164776802063,64,0
309.9124286174774,64,0
310.9093976020813,65,0
311.90678882598877,65,0
311.9114844799042,66,"[882, 769]",0
312.90486335754395,66,0
313.9045412540436,66,[1379],0
314.9029664993286,66,[1379],0
315.8967230319977,65,0
