Time,HR,RR
315.90355491638184,65,"[1624, 713]",0
316.8971977233887,64,[901],0
317.89608120918274,64,[844],0
319.88973784446716,64,[919],57
319.8938479423523,64,[919],75
319.89717984199524,64,[826],0
320.8889443874359,65,[966],93
321.8843472003937,65,[958],140
322.8820996284485,65,[826],8
323.88127756118774,65,[826],132
323.8868451118469,65,[826],0
324.87760519981384,65,[873],0
325.87427282333374,66,[835],47
326.87206077575684,66,[779],38
327.87026953697205,67,"[779, 835]",56
327.87487983703613,67,[864],0
328.86855697631836,67,[864],85
329.8643820285797,68,[873],0
330.86164116859436,69,[919],9
331.85897421836853,69,[1013],46
331.86505365371704,68,[1004],94
332.8567907810211,68,[891],9
333.8569176197052,68,[891],113
334.85435914993286,66,[995],0
335.85153889656067,65,[882],104
335.8555908203125,64,[873],113
336.84414887428284,64,[864],9
337.8436064720154,63,[966],9
338.84240198135376,63,[966],102
339.8387978076935,65,[807],0
339.8449122905731,65,[919],159
340.839617729187,65,[742],112
341.836297750473,66,[807],177
342.8325970172882,66,"[769, 742]",65
343.8309962749481,66,"[769, 742]",38
343.8387362957001,67,[797],0
344.82845640182495,68,[760],28
345.8232593536377,70,[948],37
346.82360339164734,70,[939],188
347.8193361759186,69,[901],9
347.8255844116211,69,[901],38
348.8173305988312,70,[826],0
349.81484746932983,68,[939],75
350.81191873550415,67,[929],113
351.80938053131104,67,[929],10
351.8163995742798,66,[817],0
352.8074016571045,66,[817],112
353.80431175231934,66,[976],0
354.8027489185333,65,[919],159
355.80153799057007,65,[835],57
355.8089671134949,65,[919],84
356.7978494167328,65,[901],84
357.7933762073517,65,[901],18
358.79093861579895,65,"[958, 760]",0
359.7890536785126,63,[1051],57
359.79293298721313,62,0
360.79056191444397,61,[1004],0
361.7847971916199,62,"[919, 873]",0
362.78208017349243,62,"[919, 873]",85
363.7797496318817,62,[919],0
363.7835819721222,63,[911],0
364.7766170501709,64,[844],8
365.77499079704285,64,[873],67
366.7729458808899,65,[948],29
367.77071380615234,65,[948],75
367.77606654167175,65,[844],0
368.7684473991394,65,[844],104
369.7674298286438,65,[911],0
370.76046419143677,63,[1342],67
371.7567574977875,63,0
371.76285910606384,63,0
372.7564308643341,63,[1135],0
373.754433631897,64,[844],0
374.75058364868164,64,"[911, 864]",0
375.7504575252533,65,[873],67
375.75497341156006,65,[873],38
376.74857330322266,65,[901],0
377.74432849884033,65,[929],28
378.74262046813965,65,[835],28
379.7384271621704,65,[919],94
380.73616766929626,65,[901],84
380.74419045448303,65,[901],18
381.7332582473755,65,[826],0
382.73211789131165,65,[901],75
383.7302348613739,65,[901],75
385.7250621318817,65,[817],0
385.7308530807495,65,[797],84
385.73432755470276,65,[797],20
386.72279691696167,67,"[817, 817]",0
387.7195825576782,68,[789],20
388.71665477752686,69,[797],28
388.72133803367615,69,[854],8
389.7144193649292,70,[891],57
390.7136676311493,70,[891],37
391.70962619781494,70,"[713, 1013]",0
392.7043037414551,70,0
392.71195793151855,69,[891],0
393.7049105167389,68,[929],0
394.70177483558655,68,"[779, 742]",38
395.7002685070038,68,"[779, 742]",150
396.6959855556488,68,[1155],0
396.6999468803406,68,0
397.69517970085144,68,[1080],0
398.6946485042572,68,"[722, 732]",0
399.68908405303955,69,[835],0
400.68933606147766,69,[835],113
400.6945831775665,69,[779],0
401.6855499744415,69,[939],56
402.68306374549866,68,[807],160
403.67926955223083,68,[1277],132
404.6779432296753,68,[675],0
404.68278670310974,68,[675],0
405.6745717525482,68,[976],0
406.6724486351013,68,[882],0
407.6705222129822,67,[1004],94
408.6669239997864,67,"[713, 628]",122
408.67274284362793,68,[742],0
409.66571402549744,68,[742],29
410.66225481033325,67,[901],0
411.65957045555115,67,[1257],159
412.6570677757263,67,[882],0
412.6636323928833,67,[789],0
413.6530075073242,67,[835],93
414.6517381668091,67,[835],46
415.65075516700745,66,[789],0
416.64740014076233,66,[779],46
416.65184807777405,66,[911],10
417.643568277359,67,[882],132
418.64505434036255,67,[873],29
419.6405990123749,67,[873],9
420.6375880241394,67,"[864, 779]",0
420.6426661014557,67,[760],9
421.6306598186493,67,[732],104
422.63408041000366,67,[750],28
423.63028597831726,68,[779],18
424.62633323669434,68,[779],29
424.63403487205505,70,"[835, 844]",0
425.62449979782104,71,[854],56
426.62181854248047,71,[844],19
427.6214349269867,70,[864],10
428.6166636943817,70,[854],20
428.6215856075287,70,[854],10
429.6142885684967,70,[882],0
430.61212682724,69,[882],28
431.6094968318939,69,[864],0
432.60686111450195,68,[929],18
432.61473417282104,68,[789],65
433.6002562046051,68,[789],140
434.6013720035553,68,"[844, 807]",0
435.60037565231323,68,[742],55
436.5997726917267,70,[854],102
436.6069657802582,70,[911],112
437.59579944610596,70,[1286],57
438.5931112766266,70,[1286],0
439.5853807926178,69,0
440.58783864974976,69,[1708],0
440.5920865535736,69,[628],0
441.58457255363464,70,[769],0
442.58316373825073,70,[939],141
443.57973313331604,70,[939],170
444.57829880714417,70,[939],0
444.58323860168457,71,[685],0
445.57417941093445,70,"[891, 817]",0
446.5731165409088,70,[891],206
447.5710792541504,69,[873],0
448.5672869682312,69,[873],18
448.5713851451874,70,[854],0
449.564861536026,69,[911],19
450.5619192123413,68,[891],57
451.56036472320557,68,[882],20
452.55775904655457,67,[901],9
452.5619206428528,67,[901],19
453.55421471595764,67,[939],0
454.5510284900665,66,[958],38
455.5491306781769,66,[826],19
456.5467360019684,66,[948],132
456.55338048934937,65,[844],122
457.54438185691833,65,[844],104
458.54169368743896,65,[929],0
459.54106736183167,65,[779],85
460.53885793685913,66,"[891, 844]",150
461.5340166091919,66,[882],112
461.5403845310211,66,[779],9
462.53199791908264,66,[779],103
463.5294554233551,67,[844],0
464.5259597301483,67,[882],65
465.5250585079193,68,[864],38
465.534038066864,68,[901],18
466.52035307884216,68,[948],37
467.5197765827179,68,[948],47
468.5191979408264,67,[986],0
470.5142939090729,67,[891],38
470.5216295719147,66,[1013],95
470.5326864719391,65,[750],122
471.50967741012573,65,[873],0
472.50623297691345,65,[873],123
473.5056383609772,67,[789],0
473.5120677947998,67,[873],84
474.49927949905396,67,"[901, 901]",84
475.49973320961,67,[864],28
476.4978017807007,67,[911],37
477.4961042404175,67,[911],47
477.50399470329285,67,[911],0
478.492390871048,66,[807],0
479.4914608001709,66,[854],104
480.48633551597595,68,[779],47
481.486257314682,69,[807],75
481.4930593967438,69,[807],28
482.4823067188263,70,[789],0
483.48227429389954,70,"[817, 882]",18
484.4784734249115,70,[844],28
485.4740881919861,70,[844],27
485.481285572052,69,[826],0
486.4682676792145,69,[826],18
487.4719250202179,69,[929],0
488.46754574775696,69,[797],103
489.4654040336609,70,[826],132
489.4707510471344,69,[901],29
490.46455216407776,69,"[675, 779]",75
491.4592378139496,69,"[675, 779]",226
492.45706057548523,69,[789],0
493.4547758102417,70,[742],114
493.46294474601746,71,[769],47
494.451687335968,70,[854],27
495.4492094516754,70,[854],85
496.44689679145813,71,"[769, 750]",0
497.44562292099,72,[873],85
497.45398688316345,72,[854],104
498.44241404533386,70,[1117],19
499.4385778903961,68,[1023],0
500.4364445209503,68,[1023],94
501.4300391674042,68,0
501.43780159950256,68,[1314],0
502.43438386917114,68,[864],0
503.430992603302,68,[901],0
504.4282937049866,68,[854],37
505.4240574836731,68,[854],47
505.43624567985535,68,"[844, 807]",0
506.42223358154297,68,[864],10
507.4191279411316,68,[844],20
509.4146809577942,68,[882],20
509.418447971344,67,0
509.42125153541565,67,0
510.41253995895386,67,[1483],0
511.41079354286194,67,"[826, 797]",0
512.4054260253906,67,[750],0
513.4038317203522,67,[1098],76
513.4102771282196,68,[573],0
514.4017004966736,68,[573],0
515.3989634513855,69,[750],0
516.3963842391968,70,[779],177
517.3954637050629,70,"[789, 797]",29
517.4013230800629,71,[789],10
518.3905944824219,71,[760],0
519.3902106285095,71,[760],29
520.3837556838989,72,[789],0
521.3843812942505,72,[826],29
521.3895633220673,73,"[797, 760]",37
522.3833181858063,73,[807],29
523.3792691230774,73,[807],10
524.3770530223846,73,[807],0
525.3738498687744,73,[807],0
525.381067276001,73,[789],0
526.3723549842834,73,[826],18
527.3694763183594,73,[864],37
528.3667075634003,73,"[826, 769]",38
529.3637354373932,73,"[826, 769]",38
529.3717968463898,72,[797],0
530.3619585037231,74,[807],29
531.3605892658234,74,[835],10
532.356493473053,74,[1202],28
533.3564448356628,73,[1061],0
534.353462934494,73,[1061],141
534.3590047359467,74,[469],0
535.3454234600067,73,[1624],0
536.3406505584717,73,0
537.3412508964539,73,"[1088, 704]",0
537.3512907028198,73,[713],0
538.3408088684082,73,[713],0
539.3384921550751,74,[704],0
540.3323307037354,75,[732],9
541.3343949317932,75,"[750, 742]",28
542.3338687419891,76,[713],18
542.3386220932007,77,[713],37
543.3313136100769,77,[713],0
544.3259644508362,77,[807],0
545.3246960639954,76,"[826, 807]",94
546.3210978507996,75,[826],19
546.3267962932587,74,[835],0
547.319039106369,73,[817],9
548.3181114196777,73,[817],18
549.3159754276276,74,[750],0
550.3116476535797,74,"[742, 732]",67
550.3195338249207,73,[713],8
551.309187412262,75,[713],29
552.3059225082397,77,[704],0
553.3080549240112,77,[704],9
554.3035917282104,77,"[732, 750]",0
554.3092551231384,76,[854],28
555.2981152534485,75,[929],122
556.3001165390015,73,[901],75
557.294988155365,72,[864],28
558.2947609424591,72,[864],37
558.3035583496094,71,[891],0
559.289547920227,69,[948],27
560.2862010002136,69,[1070],57
561.2837650775909,69,[620],122
562.2817249298096,69,[939],0
562.2895011901855,69,[939],0
563.27783036232,69,[882],0
564.2764835357666,69,[864],57
565.2742981910706,69,[966],18
566.2759582996368,69,[958],102
566.2842752933502,68,[901],8
567.2721409797668,68,[901],57
568.2686083316803,67,[966],0
569.2635385990143,66,[976],65
570.2652699947357,65,[911],10
570.2738814353943,65,[901],65
571.2598299980164,64,[948],10
572.2595138549805,64,[948],47
573.2554624080658,64,[939],0
574.2517354488373,63,[958],9
574.2577056884766,65,[779],19
575.2497098445892,65,[948],179
576.2483899593353,65,"[901, 817]",169
578.2433009147644,65,"[901, 817]",47
578.2481915950775,64,[929],0
578.2523448467255,64,[948],28
579.2394738197327,64,[769],19
580.2367322444916,64,[919],179
581.2346963882446,65,[919],150
582.2297978401184,65,[919],0
582.2393755912781,65,[797],0
583.2292675971985,65,[882],122
584.2270984649658,65,[873],85
585.2243399620056,67,[807],9
586.2211890220642,67,[844],66
586.2265748977661,67,[844],37
587.21950507164,68,[807],0
588.2164177894592,68,"[891, 911]",37
589.2151439189911,68,[864],84
590.212162733078,67,[911],27
590.2175827026367,67,[891],47
591.2101039886475,67,[891],20
592.2062113285065,66,[854],0
593.2037270069122,66,[826],37
594.2029013633728,66,[873],28
594.2082362174988,66,[891],47
595.1979327201843,66,[873],18
596.195151090622,66,[873],18
597.1934576034546,67,[891],0
598.1928317546844,67,[901],18
598.1979031562805,67,[873],10
599.188978433609,66,[789],28
600.1863377094269,66,[901],84
601.1842513084412,66,[901],112
602.1814637184143,67,"[882, 882]",0
602.1862297058105,67,[817],19
603.1786906719208,67,[919],65
604.1765494346619,67,[779],102
605.1739354133606,67,[779],140
606.1723113059998,67,[882],0
606.1794016361237,67,[901],103
607.1677775382996,67,[807],19
608.1689796447754,67,[882],94
609.1594684123993,67,0
610.1609926223755,67,"[1643, 779]",0
610.1705663204193,67,"[1643, 779]",0
611.1597208976746,68,[732],0
612.1573204994202,69,[704],0
613.1536405086517,69,"[713, 722]",28
614.1535410881042,70,[769],9
614.1586859226227,70,[769],56
615.1498734951019,70,[807],0
616.1480104923248,71,[901],38
617.140105009079,71,[976],94
618.1374950408936,71,[948],75
618.145966053009,71,[911],28
619.1390676498413,71,[911],37
620.1384472846985,70,[901],0
621.1345643997192,68,[1126],10
622.1270279884338,68,0
623.1289913654327,67,[1417],0
623.1343235969543,67,[844],0
624.126368522644,67,[844],0
625.1253840923309,67,"[844, 797]",0
626.1223423480988,68,[826],0
627.1185114383698,68,[864],18
627.1231100559235,68,[779],38
628.1172590255737,68,[789],85
629.1136267185211,68,[789],10
630.1124947071075,69,[826],0
631.1075007915497,69,"[789, 797]",37
631.1142091751099,70,[835],37
632.1060540676117,70,[873],46
633.1050298213959,71,[826],38
634.1021022796631,71,[826],47
635.0975942611694,71,[835],0
635.1045114994049,71,[873],9
638.1592411994934,70,[835],38
638.1656470298767,70,[779],38
638.1680562496185,70,0
640.0827841758728,70,0
640.0881903171539,69,0
640.0904030799866,69,0
641.0813019275665,69,0
644.1431725025177,69,0
647.1316823959351,70,0
647.1366293430328,70,0
647.1414341926575,70,0
647.144923210144,70,0
647.147524356842,70,0
647.1500494480133,70,0
647.1525673866272,70,0
651.1550562381744,70,0
651.1599304676056,71,0
651.1642816066742,71,0
651.1669669151306,71,0
651.1693201065063,71,0
652.0521194934845,71,0
653.0503811836243,71,0
654.0470771789551,71,0
655.0451848506927,72,0
655.0517838001251,73,0
656.0418853759766,73,0
658.037141084671,73,0
658.043524980545,73,0
659.0334937572479,73,0
659.0370552539825,73,0
660.0319142341614,73,0
661.0303647518158,73,0
662.029459476471,72,0
663.0232915878296,72,0
663.0282142162323,72,0
665.019980430603,71,0
665.0242710113525,71,0
666.0171959400177,71,0
668.0120053291321,72,0
668.0170707702637,72,0
668.0210831165314,72,0
669.0097227096558,72,0
670.0091097354889,72,0
671.0024843215942,72,0
671.0052864551544,73,0
672.0023322105408,73,0
672.9992966651917,73,0
673.9969880580902,73,0
674.9949524402618,73,0
674.9994966983795,74,0
