Time,HR,RR,HRV
56.39819049835205,65,[770.5078125],0
57.443623065948486,65,[806.640625],119
58.4372284412384,65,[806.640625],36
60.43277883529663,65,[852.5390625],0
61.43360996246338,66,"[879.8828125, 696.2890625]",46
61.43906497955322,67,[843.75],27
61.443036794662476,67,[852.5390625],36
62.43026065826416,67,[907.2265625],9
63.425005197525024,67,[907.2265625],55
64.42443346977234,67,[953.125],0
64.43087482452393,67,[1274.4140625],46
66.416663646698,67,0
66.42293691635132,67,[1118.1640625],0
67.41353511810303,67,[760.7421875],0
68.41546654701233,67,[760.7421875],0
68.42063212394714,67,"[742.1875, 788.0859375]",0
69.41118955612183,67,[732.421875],18
