Time,HR
18.969638347625732,77
19.978020906448364,78
20.975292921066284,79
21.971769332885742,79
22.969351530075073,79
22.970526218414307,80
23.96705389022827,80
24.96455478668213,80
25.963207244873047,80
26.96032476425171,80
26.96115016937256,80
27.957262992858887,80
28.954283714294434,80
29.951921939849854,80
30.95041060447693,79
30.951037645339966,79
31.94690489768982,79
32.94560933113098,79
33.942177534103394,79
34.93983316421509,79
34.94166159629822,79
35.93742322921753,80
36.93456816673279,80
37.93228030204773,80
