Time,HR,RR
36.22546172142029,69,[835],0
37.5869677066803,69,"[722, 742]",0
38.58323931694031,70,[750],113
38.58930063247681,70,[742],28
39.57985973358154,70,[958],8
40.57875299453735,70,[958],216
41.57536339759827,70,[976],0
43.569047689437866,71,[929],18
43.57597231864929,70,[1192],47
43.58101224899292,70,[750],0
44.573331117630005,70,[826],0
45.56549549102783,70,[826],76
46.56492257118225,72,[835],0
46.573277711868286,72,[1324],9
47.56101727485657,72,[469],0
48.556965589523315,72,[891],0
49.55790138244629,72,[882],0
