Time,HR,RR
219.83156061172485,75,0
220.8730983734131,75,0
221.8703887462616,74,0
222.86737775802612,74,0
223.8649606704712,74,0
223.86948442459106,74,0
224.86240339279175,74,0
225.8603732585907,74,0
226.85741019248962,74,0
227.85526204109192,74,0
227.85928797721863,74,0
228.85245323181152,74,0
229.8498764038086,74,0
230.84793972969055,74,0
231.84499073028564,74,0
231.84943890571594,74,0
232.84246945381165,74,0
233.84029245376587,74,0
234.8367657661438,74,0
235.83534026145935,74,0
235.8417842388153,73,[882],0
236.83477115631104,72,"[882, 873]",0
237.83214712142944,71,[882],0
