Time,HR,RR,HRV
29.499773025512695,62,0
30.98987889289856,62,0
31.988202810287476,62,0
33.982370138168335,62,0
34.97976994514465,61,0
34.98502254486084,61,[844],0
34.99145579338074,61,[844],0
35.978853940963745,60,[1080],0
35.98485994338989,60,[864],236
36.97719669342041,60,[1173],216
37.97466802597046,60,[901],0
38.97212076187134,60,[1033],0
39.96732687950134,60,[1033],132
39.97369408607483,60,[1051],0
40.96699523925781,60,[779],18
41.963616609573364,60,[995],0
43.95973205566406,60,[1098],216
43.96489477157593,61,[948],103
43.96775841712952,61,[948],150
44.95724368095398,60,[1135],0
45.95637106895447,61,[891],187
