Time,HR
20.441833972930908,80
21.43885827064514,80
21.439558267593384,79
22.436968088150024,79
23.43387269973755,79
24.431424856185913,78
24.43232822418213,78
25.428796768188477,78
26.426128387451172,78
27.423722505569458,78
28.421295166015625,77
28.42208981513977,75
29.419161319732666,75
30.416711807250977,75
31.413699865341187,76
32.41149115562439,77
32.412217140197754,77
34.40601992607117,78
34.40679907798767,78
36.4015326499939,78
36.40199875831604,78
36.40262031555176,78
37.39860725402832,79
38.395992040634155,79
41.698373794555664,79
41.69935321807861,79
41.7006561756134,79
41.7015426158905,79
42.38593077659607,79
43.38329768180847,79
45.37821388244629,78
45.378939151763916,78
45.37955164909363,79
47.37352252006531,79
47.37403845787048,78
48.370495319366455,78
49.367955923080444,78
49.36883068084717,78
53.6028048992157,78
53.60328960418701,78
53.60363459587097,78
53.60397505760193,77
53.60459566116333,76
54.35556173324585,76
55.35288405418396,75
56.350274085998535,75
56.3511528968811,74
57.34796762466431,73
60.43503928184509,72
60.435471296310425,72
60.43584656715393,71
60.43644380569458,71
61.33787488937378,71
62.335089683532715,71
63.333672285079956,72
64.33023428916931,72
64.33134198188782,73
65.32765054702759,74
67.32262420654297,74
67.32331585884094,72
68.31987023353577,74
68.32077765464783,74
71.45930528640747,72
71.4597544670105,71
71.46011686325073,71
72.31000065803528,71
73.30732655525208,72
74.30474257469177,72
74.30544376373291,72
75.30233240127563,72
76.29974055290222,73
77.29728579521179,73
77.29856157302856,73
78.29490923881531,73
79.29229760169983,74
80.2896203994751,75
81.28700137138367,75
81.28822112083435,76
82.28454256057739,77
83.28260278701782,77
84.27958583831787,77
86.27449607849121,78
86.27520871162415,78
86.27554392814636,78
87.27193975448608,78
89.26721739768982,78
89.26767039299011,78
89.26834845542908,78
91.26182651519775,78
91.2626564502716,79
92.25973272323608,80
93.25683546066284,80
93.25795149803162,80
94.25430297851562,80
95.25176644325256,80
96.24995589256287,81
97.24713468551636,81
97.2480525970459,81
98.24409985542297,81
99.24155521392822,81
100.23925256729126,81
101.2364513874054,81
101.23807048797607,81
102.2342038154602,81
106.4271035194397,81
106.42752838134766,81
106.42782068252563,81
106.42810606956482,81
106.42836880683899,81
107.22138953208923,81
108.21967887878418,81
110.21372079849243,81
110.2145516872406,81
110.21492099761963,81
111.21127533912659,81
112.20883178710938,81
113.20617365837097,79
114.2036623954773,80
114.20469117164612,80
115.20126247406006,80
116.19874453544617,82
117.19606709480286,82
117.19701480865479,83
118.1935625076294,85
119.19106531143188,87
120.18861651420593,87
121.18623328208923,87
121.18733239173889,87
122.18406510353088,87
123.18116569519043,87
124.1783094406128,87
125.17586946487427,87
125.17665243148804,87
126.17332124710083,86
127.17094016075134,85
128.1682369709015,83
129.16573667526245,82
129.16702461242676,80
130.16359782218933,80
131.1608681678772,79
132.15831661224365,78
133.15624523162842,77
133.15747928619385,76
134.15325665473938,74
135.15056800842285,74
136.148850440979,74
137.14593601226807,74
137.14706707000732,75
138.14301562309265,75
139.14067220687866,76
140.13823747634888,76
141.13556098937988,77
141.1365830898285,77
142.13324284553528,78
143.1311330795288,78
144.12860465049744,79
145.12522864341736,79
145.12609314918518,79
146.12281012535095,80
147.1202437877655,80
148.11776208877563,81
149.11510396003723,80
149.11593103408813,80
150.11306166648865,80
152.10767102241516,81
152.10844373703003,81
153.10513401031494,80
154.10289788246155,80
154.1043119430542,80
155.10019755363464,80
156.09751057624817,80
158.09262108802795,80
158.09379410743713,80
158.0943078994751,79
159.0904185771942,79
160.08736944198608,79
161.08516025543213,79
162.08241176605225,78
162.08341789245605,78
163.08007287979126,78
164.07747268676758,78
165.07489943504333,77
166.07241344451904,77
166.07370495796204,77
167.07007336616516,76
168.06772661209106,76
169.06490564346313,76
170.06236124038696,76
170.06339764595032,76
171.05975437164307,77
172.05719685554504,77
173.05493474006653,78
174.05216336250305,78
174.05334520339966,78
175.04990482330322,78
176.04711031913757,78
177.04465055465698,78
178.0420367717743,78
178.04315376281738,78
179.0395393371582,79
180.03788018226624,79
181.03461384773254,79
182.0318260192871,80
182.03266215324402,80
183.0299506187439,80
184.02704572677612,80
185.02474522590637,79
186.02217364311218,79
186.0228054523468,78
189.25831079483032,78
189.2589409351349,78
189.2594029903412,78
191.00935125350952,78
191.01029753684998,78
191.01081228256226,79
192.00671291351318,79
193.0041377544403,79
194.99903225898743,79
194.99973678588867,80
195.0003101825714,80
195.99659395217896,81
196.99417924880981,81
197.99169778823853,81
197.9933626651764,81
198.98930525779724,81
199.98652863502502,82
200.98391771316528,81
