Time,HR,RR
22.733845710754395,71,[873]
23.731708765029907,70,[826]
23.7328519821167,70,[817]
24.72958779335022,70,[835]
25.727130889892578,70,[844]
26.724698305130005,70,[844]
27.721795558929443,70,"[854, 864]"
27.722923517227173,70,[835]
28.719454288482666,69,[864]
29.716285228729248,69,[854]
30.715402364730835,69,[797]
31.71128559112549,69,[797]
31.711908102035522,69,[854]
32.70884442329407,69,[817]
33.70648193359375,69,"[797, 760]"
34.70389175415039,70,[817]
35.70192265510559,70,[797]
35.703235387802124,70,[797]
36.700273752212524,70,[835]
37.69710159301758,71,[807]
38.694828748703,71,[835]
39.69207143783569,71,[844]
39.693498849868774,71,[854]
40.689953565597534,71,[854]
41.687116861343384,71,"[826, 807]"
42.68553137779236,71,[826]
43.6822190284729,71,[826]
43.68347191810608,71,[789]
44.67991018295288,71,[789]
45.67705297470093,71,[789]
46.67486548423767,71,[817]
47.672319412231445,71,"[797, 779]"
47.673635721206665,72,[789]
48.67047572135925,72,[797]
49.6666841506958,72,[789]
50.66515922546387,72,[789]
51.66158938407898,73,[760]
51.662264347076416,73,"[817, 817]"
52.65947127342224,73,[797]
53.65700340270996,73,[769]
54.65557813644409,73,[797]
55.65231513977051,73,[797]
55.65395379066467,73,[807]
56.649815797805786,73,"[769, 742]"
57.6473069190979,73,[760]
58.644952058792114,75,[695]
59.64251732826233,76,[779]
59.6437292098999,76,[779]
60.640052318573,76,[873]
61.637409925460815,76,"[797, 779]"
62.634992599487305,76,[769]
63.63239598274231,76,[797]
64.62996673583984,75,[807]
64.63134431838989,75,[807]
65.62739896774292,75,[835]
66.62493181228638,74,-1
67.62239599227905,74,"[1643, 732]"
68.61993169784546,74,[986]
68.62103748321533,76,[732]
69.61782240867615,76,[732]
70.61448621749878,76,[939]
71.61249375343323,75,[1061]
72.61004710197449,75,-1
72.61111211776733,75,-1
73.60756707191467,76,-1
74.60521149635315,76,-1
75.60212302207947,76,-1
76.59949898719788,77,-1
76.60042786598206,77,-1
77.59731101989746,78,-1
78.59412145614624,79,-1
79.59272623062134,79,-1
80.58906579017639,80,-1
80.58973145484924,81,-1
81.58712792396545,81,-1
82.58477187156677,82,-1
83.58159065246582,82,-1
84.57914757728577,82,-1
84.57986402511597,83,-1
85.57774782180786,84,-1
86.57470440864563,84,-1
87.57155132293701,85,-1
88.5690188407898,85,-1
88.56971955299377,85,-1
89.56719064712524,85,-1
90.5645797252655,85,-1
91.56213974952698,85,-1
92.55928754806519,84,-1
92.56031823158264,84,-1
93.556973695755,84,-1
94.55438470840454,84,-1
95.55222463607788,84,-1
96.54915261268616,84,-1
96.55000638961792,84,-1
97.54694080352783,84,-1
98.54414772987366,84,-1
99.54132223129272,83,-1
100.53857254981995,82,-1
100.53930807113647,82,-1
101.5365207195282,82,-1
102.53373646736145,82,-1
103.53185033798218,82,-1
104.5290675163269,82,-1
104.53011059761047,82,-1
105.52671122550964,82,-1
106.52366209030151,82,-1
107.52194499969482,81,-1
108.51861000061035,81,-1
108.51938080787659,81,-1
109.51614141464233,81,-1
110.51383781433105,81,-1
111.51134920120239,81,-1
112.50876545906067,81,-1
112.50967502593994,81,-1
113.50610518455505,81,-1
114.50354290008545,80,-1
116.4994478225708,80,-1
116.50051832199097,79,-1
116.50114583969116,79,-1
117.49617409706116,79,-1
118.49403786659241,79,-1
119.49155592918396,79,-1
120.4884295463562,79,-1
120.48897194862366,78,-1
121.48643660545349,78,-1
122.48427772521973,78,-1
