Time,HR,RR
1032.6348037719727,113,0
1034.1247062683105,113,0
1035.1231515407562,113,0
1037.1169500350952,113,0
1037.1232602596283,113,0
1037.1279916763306,113,0
1038.1144535541534,113,0
1039.1137292385101,111,0
1039.1172893047333,111,0
1040.1092367172241,109,0
1041.1061148643494,107,0
1042.1080884933472,106,0
1043.1018002033234,104,0
1043.1071162223816,104,0
1044.1007106304169,104,0
1045.0975461006165,104,0
1046.094693183899,103,0
1047.0923023223877,103,0
1047.0968706607819,103,0
