Time,HR,RR
14.830411911010742,70,-1
16.040557622909546,70,-1
17.03766369819641,70,-1
18.03484082221985,70,-1
18.035571575164795,69,-1
19.032979488372803,69,-1
20.031320810317993,69,-1
21.027719259262085,69,-1
22.02592444419861,69,-1
22.026445627212524,69,-1
23.023170948028564,67,-1
24.021010160446167,66,-1
25.017822980880737,64,-1
26.018484592437744,64,-1
27.013094186782837,64,-1
27.014397144317627,63,-1
28.0104398727417,62,-1
29.008318424224854,62,-1
30.005401134490967,62,-1
31.003325700759888,62,-1
31.0044846534729,62,-1
32.00177073478699,62,-1
32.99789309501648,62,[948]
33.99558353424072,61,[986]
34.993205547332764,61,[1117]
34.99415731430054,61,[1117]
35.990400314331055,63,[826]
36.987873554229736,64,[873]
37.98614454269409,64,-1
38.983322858810425,64,-1
38.98510503768921,64,-1
39.98138976097107,64,-1
40.97876787185669,63,-1
41.97600317001343,63,-1
42.97333550453186,63,-1
42.97482991218567,63,-1
43.97156834602356,63,-1
44.96853828430176,63,-1
45.96806216239929,63,-1
46.963520765304565,63,-1
46.96522760391235,63,-1
47.96049785614014,64,-1
48.95843696594238,64,-1
49.9566068649292,64,-1
50.95337677001953,64,-1
50.95429182052612,64,-1
51.95112085342407,64,-1
52.94830822944641,64,-1
53.946099042892456,64,-1
54.94301724433899,64,-1
54.94386029243469,64,-1
55.940555810928345,63,-1
56.9389009475708,63,-1
57.93566608428955,63,-1
58.93338370323181,63,-1
58.934698820114136,63,-1
59.93096971511841,64,-1
60.92873954772949,64,-1
61.926419258117676,64,-1
62.92354869842529,63,-1
62.92481088638306,63,-1
63.92132091522217,63,-1
