Time,HR,RR,HRV
649.6856210231781,100,[939],10
650.3139266967773,100,[907],0
650.7087953090668,100,0
651.139808177948,100,[874],0
651.7541415691376,100,0
652.1883182525635,100,[865],0
652.8083896636963,100,[828],0
653.2157454490662,100,0
653.6426584720612,100,[769],0
654.2694315910339,100,[721],0
654.6748337745667,100,0
655.3127026557922,100,[679],0
655.7302529811859,100,[697],0
656.1303820610046,100,0
656.7730505466461,100,[756],0
657.1791286468506,100,[784],0
657.8084280490875,100,0
658.2236485481262,100,[762],0
658.6523234844208,100,[753],0
659.2752859592438,99,[748],9
659.6856949329376,99,0
660.3138229846954,98,[737],0
660.740763425827,98,[759],0
661.1465389728546,98,0
661.7865190505981,97,[776],0
662.2023487091064,97,[747],0
662.8175988197327,97,0
663.2457554340363,96,[816],0
663.652037858963,96,0
664.2942609786987,95,[826],0
664.7067813873291,95,[810],0
665.3152656555176,95,0
665.7575919628143,94,[841],0
666.1689476966858,94,[775],0
666.7860798835754,94,0
667.2149577140808,93,[815],0
667.8252832889557,93,0
668.2538719177246,92,[865],0
668.6707618236542,92,[855],0
669.2882778644562,92,0
669.7150576114655,91,[907],0
670.1235251426697,91,0
670.7593405246735,90,[931],0
671.1662702560425,90,0
671.802835226059,89,[894],0
672.2214109897614,89,[928],0
672.627922296524,89,0
673.2670392990112,88,[896],0
673.672765493393,88,0
674.3076004981995,88,[811],0
674.7242503166199,87,[839],0
675.1335079669952,87,0
675.7699999809265,87,[869],0
676.1769306659698,87,0
676.8146929740906,86,[839],0
677.232063293457,86,[857],0
677.6408970355988,86,0
678.2760725021362,85,[828],0
678.6820528507233,85,0
679.317615032196,85,[884],0
679.7245843410492,85,0
680.1448526382446,84,[912],0
680.7778427600861,84,[950],0
681.1905415058136,84,0
681.8237917423248,83,[868],0
682.2294564247131,83,0
682.6585602760315,83,[826],0
683.2867851257324,83,[830],0
683.6926672458649,83,0
684.3328335285187,82,[851],0
684.7374563217163,82,0
685.1540756225586,82,[912],0
685.7739818096161,82,0
686.2036023139954,81,[917],0
686.8295524120331,81,[911],0
687.2387411594391,81,0
687.678169965744,81,[886],0
688.282639503479,81,0
688.7093856334686,80,[960],0
689.3293447494507,80,0
689.7525091171265,80,[946],0
690.1605958938599,80,0
690.7984771728516,79,[1009],0
691.2054288387299,79,0
691.6326944828033,78,[1003],0
692.2504210472107,78,0
692.6775131225586,78,[1009],0
693.2934579849243,78,0
693.7301225662231,77,[1017],0
694.124650478363,77,0
694.7669587135315,77,[983],0
695.1726660728455,77,0
695.8092999458313,76,[978],0
696.2268507480621,76,[887],0
696.6346666812897,76,0
697.2734203338623,76,[839],0
697.6906023025513,76,[810],0
698.3054213523865,76,0
698.7341237068176,76,[746],0
699.151668548584,76,[800],0
699.7674295902252,76,0
700.1956748962402,76,[956],0
700.8108603954315,76,0
701.2420568466187,76,[977],0
701.6425979137421,76,0
702.2861456871033,75,[872],0
702.6837027072906,75,0
703.3276715278625,75,[842],0
703.7326657772064,75,[756],0
704.1503388881683,75,0
704.7754554748535,75,[764],0
705.2055933475494,75,[827],0
705.8140480518341,75,0
706.2499945163727,75,[921],0
706.6546666622162,75,0
707.2939431667328,74,[883],0
707.7111902236938,74,[847],0
708.3253238201141,74,0
708.760525226593,74,[758],0
709.1727232933044,74,[710],0
709.7858984470367,74,0
710.2166299819946,75,[721],0
710.6342399120331,76,[734],0
711.249577999115,76,0
711.6763670444489,77,[753],0
712.3068404197693,77,[838],0
712.7108037471771,77,0
713.1385147571564,76,[862],0
713.7537660598755,76,0
714.1817047595978,75,[920],0
714.7981343269348,75,0
715.2263040542603,75,[1010],0
715.630859375,75,0
716.2711133956909,75,[1027],0
716.6760652065277,75,0
717.3157682418823,75,[1025],0
717.7309877872467,74,[943],0
718.1364595890045,74,0
718.7790329456329,72,[960],0
719.1815085411072,72,0
719.8169572353363,71,[985],0
720.2247095108032,71,0
720.6549549102783,71,[908],0
721.2708885669708,71,0
721.6977095603943,71,[848],0
722.314062833786,71,0
722.7423601150513,70,[931],0
723.1604905128479,69,[985],0
723.7731928825378,69,0
724.2038395404816,68,[998],0
724.8171081542969,68,0
725.2522604465485,68,[855],0
725.652726650238,68,0
726.2838802337646,69,[843],0
726.7090833187103,70,[812],0
727.3218302726746,70,0
727.7543814182281,70,[841],0
728.1578230857849,70,0
728.7968661785126,70,[907],0
729.2007777690887,70,0
729.8405241966248,69,[963],0
730.2594957351685,68,[966],0
730.6655788421631,68,0
731.2862637042999,69,[849],0
731.7062077522278,69,0
732.1316530704498,69,[845],0
732.7506048679352,69,[838],0
733.1610984802246,69,0
733.792730808258,69,[881],0
734.2060189247131,69,0
734.625431060791,69,[965],0
735.2543926239014,69,0
735.6686129570007,68,[966],0
736.2935256958008,68,0
736.7331256866455,67,[959],0
737.146897315979,68,[843],0
737.7595400810242,68,0
738.1912171840668,68,[778],0
738.8026020526886,68,0
739.2331929206848,68,[867],0
739.6381402015686,68,0
740.2793545722961,68,[1100],0
740.686201095581,68,0
741.3130741119385,68,[1061],0
741.7246899604797,68,0
742.1422057151794,68,[1031],0
742.764600276947,68,0
743.2175920009613,68,[1022],0
743.8070182800293,68,0
744.282769203186,67,[1004],0
744.6463029384613,67,0
745.2842192649841,67,[962],0
745.6916537284851,67,0
746.3276994228363,67,[916],0
746.7426717281342,68,[843],0
747.1494054794312,68,0
747.787177324295,68,[774],0
748.2064120769501,68,[818],0
748.8182590007782,68,0
749.2384066581726,69,[862],0
749.6590557098389,69,0
750.2918832302094,69,[1000],0
750.698977470398,69,0
751.3340840339661,68,[1040],0
751.7445631027222,68,0
752.1713407039642,67,[1014],0
752.7873003482819,67,0
753.2141394615173,66,[1015],0
753.6197190284729,66,0
754.2552709579468,65,[995],0
754.6676845550537,65,0
755.2948260307312,65,[976],0
755.7112905979156,65,0
756.1408274173737,65,[945],0
756.7801501750946,65,[935],0
757.1664760112762,65,0
757.8049273490906,64,[966],0
758.2273564338684,64,0
758.6478290557861,64,[977],0
759.2650918960571,64,0
759.6790106296539,64,[963],0
760.3001575469971,64,0
760.7217364311218,64,[976],0
761.1404626369476,64,0
761.7829999923706,64,[979],0
762.181040763855,64,0
762.8161113262177,63,[975],0
763.227826833725,63,0
763.6533515453339,64,[934],0
764.2698965072632,64,0
764.6929771900177,64,[971],0
765.3140895366669,63,[996],0
765.9355511665344,63,0
766.163756608963,63,[946],0
766.7749712467194,63,0
767.2017755508423,64,[940],0
767.8129503726959,64,0
768.2380676269531,64,[883],0
768.6525747776031,64,0
769.2879595756531,65,[827],0
769.7052891254425,66,[865],0
770.3229396343231,66,0
770.7528214454651,66,[929],0
771.1580159664154,66,0
771.7842309474945,66,[939],0
772.1998438835144,66,0
772.6284391880035,65,[1003],0
773.2459235191345,65,0
773.6720914840698,65,[985],0
774.2885031700134,65,0
774.7174515724182,65,[920],0
775.1361808776855,65,[968],0
775.7509763240814,65,0
776.1803424358368,65,[940],0
776.7966132164001,65,0
777.2243373394012,65,[922],0
777.6308410167694,65,0
778.2684383392334,66,[863],0
778.6869459152222,66,[881],0
779.3008687496185,66,0
779.7319717407227,66,[901],0
780.136312007904,66,0
780.775244474411,66,[981],0
781.1786308288574,66,0
781.8195352554321,65,[977],0
782.2211191654205,65,0
782.65837931633,65,[992],0
783.2627592086792,65,0
783.6807305812836,65,[945],0
784.3078408241272,66,[849],0
784.7226438522339,66,0
785.1430258750916,66,[891],0
785.7714977264404,66,0
786.1989009380341,66,[900],0
786.8151326179504,66,0
787.2458753585815,66,[944],0
787.6498601436615,66,0
788.2744815349579,66,[904],0
788.7044682502747,66,[939],0
789.3148770332336,66,0
789.7484743595123,67,[842],0
790.1584434509277,67,0
790.7783794403076,68,[833],0
791.2015163898468,69,[801],0
791.8204901218414,69,0
792.23961186409,70,[764],0
792.6574065685272,70,[831],0
793.2888066768646,70,0
793.7149450778961,71,[831],0
794.1225609779358,71,0
794.751585483551,71,[835],0
795.1638045310974,72,[760],0
795.7909002304077,72,0
796.2060911655426,72,[827],0
796.6297788619995,72,[887],0
797.2470681667328,72,0
797.6687364578247,72,[871],0
798.2949199676514,72,0
798.9479701519012,71,[879],0
799.1263885498047,71,0
799.7616467475891,71,[938],0
800.1705765724182,71,0
800.8107030391693,70,[927],0
801.2217841148376,70,[909],0
801.6323909759521,70,0
802.2707619667053,70,[883],0
802.6789512634277,70,0
803.3203778266907,69,[886],0
803.7269427776337,69,[883],0
804.1361300945282,69,0
804.7719748020172,70,[874],0
805.1791205406189,70,0
