Time,HR,RR,HRV
15.330045461654663,70,0
15.333795309066772,70,0
15.33678674697876,70,0
16.322691440582275,70,0
17.32181668281555,70,0
18.318946361541748,70,0
18.323880195617676,70,0
19.31508183479309,70,0
21.309638500213623,70,0
21.312845468521118,70,0
22.308224201202393,70,0
22.312719106674194,70,0
23.304248094558716,69,0
24.305745840072632,69,0
25.300111532211304,68,0
26.297975301742554,67,0
26.301527976989746,67,0
27.29624056816101,66,0
28.293750524520874,66,0
29.289575338363647,66,0
