Time,HR,RR
29.428395986557007,71,[1126],0
30.96512007713318,72,"[469, 553]",0
31.964799404144287,72,[516],0
31.973936319351196,72,[525],47
33.95715808868408,72,[1568],9
34.95302391052246,72,[704],0
34.960432052612305,72,[1501],0
35.95270609855652,73,[797],0
36.95016837120056,72,[789],0
37.94657039642334,72,[789],8
38.94585204124451,72,[789],0
39.94078183174133,73,[854],0
39.947118520736694,73,[835],65
40.93845844268799,72,[919],19
41.93580603599548,72,[939],84
42.94052863121033,72,[939],20
43.93078351020813,71,[948],0
43.93734645843506,71,[826],9
