Time,HR,RR,HRV
57.992241859436035,70,[760.7421875],46
61.5037362575531,71,[760.7421875],0
64.42627668380737,71,[760.7421875],0
64.43020415306091,71,[852.5390625],0
64.43299770355225,72,"[897.4609375, 815.4296875]",92
64.4360237121582,71,[861.328125],45
64.43939471244812,70,[879.8828125],36
64.44145774841309,70,0
64.44362354278564,70,0
65.42319917678833,69,[1613.28125],0
66.42099070549011,69,[889.6484375],0
68.41618824005127,69,[897.4609375],0
68.42136240005493,69,[770.5078125],8
68.4241509437561,68,[907.2265625],127
69.41282916069031,68,[907.2265625],137
70.41083359718323,68,[889.6484375],0
72.4088945388794,68,[916.9921875],18
72.414315700531,67,[843.75],27
72.41816973686218,67,[935.546875],73
73.40364456176758,66,[907.2265625],92
74.40128374099731,66,[907.2265625],28
75.39678144454956,66,[797.8515625],0
76.39632225036621,65,"[943.359375, 962.890625]",110
76.39988446235657,65,0
77.39424872398376,65,[870.1171875],0
