Time,HR,RR,HRV
16.315497398376465,68,0
16.720802068710327,68,[898],0
17.345556259155273,68,0
17.764093160629272,68,[897],0
18.181248426437378,68,[935],0
18.808735847473145,68,0
19.232207775115967,68,[932],0
19.85156774520874,68,0
20.27564811706543,67,[972],0
20.68569278717041,67,0
21.31569194793701,67,[939],0
21.73196506500244,67,0
22.35650134086609,66,[996],0
22.773720026016235,66,0
23.20013999938965,65,[1006],0
23.82396697998047,65,0
24.249728441238403,65,[1007],0
24.663395166397095,65,0
25.281343460083008,64,[1037],0
25.695544481277466,64,0
26.32976508140564,64,[950],0
26.74954056739807,64,0
27.16584038734436,65,[894],0
27.78938364982605,65,[909],0
28.205340147018433,65,0
28.830007076263428,65,[914],0
29.249048471450806,65,0
29.6627836227417,65,[914],0
30.29269289970398,65,0
30.711169719696045,66,[883],0
31.339959859848022,66,[748],0
31.766186237335205,66,[712],135
32.17129921913147,66,0
32.79426598548889,66,[723],0
33.22339153289795,66,[789],0
33.84543538093567,66,0
34.26164412498474,67,[776],0
34.67344284057617,69,[793],0
35.30320739746094,69,0
35.7275767326355,70,[773],0
36.36071443557739,71,[750],0
36.76065540313721,71,0
37.185285329818726,73,[739],0
37.808753967285156,74,[723],0
38.22522258758545,74,0
38.8492968082428,76,[709],0
39.274192810058594,77,[687],0
39.68305158615112,79,[668],22
40.318766593933105,79,[540],19
40.727800607681274,81,"[114, 400]",128
41.358559370040894,81,0
41.77479934692383,81,"[667, 264, 72]",114
42.19223880767822,81,0
42.81737565994263,83,[1013],0
43.24012088775635,83,[315],0
43.64966702461243,84,"[337, 103, 311]",0
44.2828164100647,84,[338],22
44.693541526794434,84,[334],1
45.3190176486969,84,0
45.75102090835571,84,[1100],0
46.161675453186035,84,[538],0
46.7824866771698,84,[533],0
47.20669651031494,84,[559],5
47.82602882385254,84,[637],26
48.24213433265686,84,0
48.65939283370972,84,[713],0
49.29281306266785,84,[733],0
49.70213437080383,84,0
50.33834958076477,84,[741],0
50.74961280822754,84,[733],0
51.17160129547119,84,[713],8
51.791309118270874,84,0
52.216583490371704,84,[731],0
52.83517932891846,84,"[557, 90, 75]",0
53.261380672454834,84,"[402, 82]",174
53.66939949989319,84,"[429, 99]",155
54.30430603027344,85,"[399, 169]",27
54.72444248199463,85,"[462, 59]",30
55.348369121551514,85,"[386, 63, 91]",63
55.7582426071167,85,"[363, 57]",76
56.17826986312866,85,0
56.80853462219238,85,[938],0
57.224661111831665,86,[631],0
57.8461709022522,88,"[517, 111]",0
58.27070903778076,88,"[360, 80, 72]",114
58.679356813430786,88,0
59.313271045684814,88,[731],0
59.725695848464966,89,[626],0
60.35742473602295,90,[616],105
60.76593017578125,90,0
61.192065954208374,91,[615],0
61.81327557563782,92,[621],0
62.23526358604431,93,[621],6
62.855072021484375,93,[630],0
63.28285765647888,94,[635],9
63.68872785568237,94,0
64.32248258590698,94,[630],0
64.73783540725708,95,[624],0
65.15548825263977,95,[623],6
65.7803692817688,96,[610],1
66.20058369636536,97,[593],13
66.82079410552979,97,0
67.24470782279968,98,[582],0
67.656583070755,99,[574],0
68.28834462165833,100,[576],8
68.70045971870422,100,[590],2
69.33232927322388,100,[593],14
69.74551057815552,100,[629],3
