Time,HR,RR
56.069011211395264,68,"[882, 891]",122
56.65120816230774,68,"[882, 891]",56
57.69488716125488,68,[854],0
58.69131350517273,67,[911],28
59.687010288238525,67,[864],57
60.685691118240356,67,[911],47
60.69233250617981,67,[882],47
61.68384122848511,67,[882],29
62.680567502975464,67,[817],0
63.67897319793701,67,[919],65
64.67571139335632,66,[882],102
64.68264985084534,67,[789],37
65.67364311218262,67,[873],93
66.6754698753357,67,[873],84
67.66893172264099,67,"[873, 742]",0
