Time,HR,RR,HRV
167.9083342552185,65,[891],55
170.03657484054565,67,[976],122
170.0415599346161,67,[1108],85
172.03210067749023,67,[1041],132
172.0373570919037,66,[1013],67
172.04036450386047,66,[1013],28
173.02919483184814,64,[939],0
174.02829694747925,63,[779],74
175.02509760856628,61,"[769, 750]",160
175.02996397018433,62,[760],10
179.081933259964,63,[769],9
179.08843421936035,64,[844],9
179.09138321876526,64,[844],75
179.09434008598328,66,[1718],0
180.0089566707611,66,0
180.0152587890625,67,[1389],0
