Time,HR,RR,HRV
25.93140149116516,67,0
27.06339430809021,68,0
28.062636613845825,67,0
30.05450415611267,67,0
31.053117036819458,67,0
31.058168649673462,67,[889.6484375],0
31.06272292137146,67,[907.2265625],0
32.054404497146606,67,[916.9921875],18
33.048768043518066,66,[824.21875],9
34.048482179641724,66,[852.5390625],92
34.05377554893494,66,[852.5390625],28
35.046916246414185,66,[916.9921875],0
36.04382681846619,66,[870.1171875],64
37.04057574272156,65,[843.75],46
38.03821516036987,65,[907.2265625],27
38.04338717460632,65,[879.8828125],64
39.036608934402466,65,[879.8828125],28
40.03373694419861,65,[824.21875],0
41.0309476852417,65,[879.8828125],55
42.028512954711914,65,[971.6796875],55
42.033942461013794,65,[870.1171875],92
43.02652978897095,64,[889.6484375],101
44.02475190162659,64,[889.6484375],19
